TransactionID,AccountID,TransactionAmount,PreviousTransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,cluster
TX001559,AC00480,659.15,2023-01-31 16:02:23,debit,boston,D000202,78.69.172.205,M014,atm,22.0,student,204.0,1.0,1241.59,2024-11-04 08:06:24,0
TX001914,AC00290,41.93,2023-02-13 16:44:18,debit,fresno,D000600,211.45.75.44,M055,atm,48.0,engineer,136.0,1.0,5081.26,2024-11-04 08:06:24,4
TX001695,AC00393,392.05,2023-06-19 16:32:01,debit,denver,D000411,32.169.88.41,M099,atm,60.0,engineer,172.0,1.0,4383.69,2024-11-04 08:06:25,4
TX001909,AC00456,211.695,2023-06-19 16:59:35,debit,houston,D000500,133.63.96.21,Unknown,online,33.0,doctor,110.0,1.0,5531.93,2024-11-04 08:06:25,3
TX000434,AC00475,85.35,2023-07-05 16:08:25,debit,washington,D000514,100.4.40.132,M074,atm,66.0,retired,166.0,1.0,2173.76,2024-11-04 08:06:25,4
TX001251,AC00326,80.96,2023-09-27 17:47:10,credit,jacksonville,D000179,81.248.235.147,M078,online,19.0,student,97.0,1.0,959.94,2024-11-04 08:06:25,3
TX001894,AC00378,4.58,2023-10-19 16:13:30,credit,atlanta,D000162,89.6.100.149,M099,online,21.0,student,135.0,1.0,811.24,2024-11-04 08:06:26,3
TX000277,AC00403,167.14,2023-04-24 18:33:29,debit,denver,D000231,125.89.163.224,M049,online,76.0,retired,20.0,1.0,3877.73,2024-11-04 08:06:26,4
TX001590,AC00035,70.88,2023-12-04 16:18:39,credit,omaha,D000315,169.67.220.37,M087,branch,74.0,retired,176.0,1.0,1794.65,2024-11-04 08:06:26,4
TX000710,AC00462,99.76,2023-08-07 16:21:37,debit,sacramento,D000501,38.164.132.63,M039,branch,26.0,student,131.0,1.0,416.89,2024-11-04 08:06:26,3
TX000495,AC00498,659.95,2023-09-20 16:59:45,debit,detroit,D000665,94.227.164.192,M044,online,60.0,engineer,114.0,1.0,3927.69,2024-11-04 08:06:26,0
TX000514,AC00469,65.57,2023-04-06 17:24:16,debit,miami,D000649,1.198.76.182,M039,online,41.0,engineer,82.0,1.0,4732.81,2024-11-04 08:06:26,4
TX001275,AC00398,1159.39,2023-10-12 16:29:49,debit,oklahoma city,D000294,173.135.78.201,M091,online,41.0,doctor,150.0,1.0,6499.53,2024-11-04 08:06:27,0
TX001999,AC00235,61.33,2023-09-20 18:18:00,debit,raleigh,D000201,167.95.191.52,M018,atm,27.0,engineer,129.0,1.0,7537.4,2024-11-04 08:06:27,1
TX000331,AC00087,182.19,2023-06-19 16:36:25,debit,mesa,D000101,157.130.28.27,M007,branch,26.0,student,53.0,1.0,1176.1,2024-11-04 08:06:27,3
TX001824,AC00137,31.39,2023-01-09 17:09:31,debit,tucson,D000214,186.57.149.225,M068,atm,20.0,student,15.0,1.0,998.49,2024-11-04 08:06:27,3
TX002201,AC00219,68.68,2023-09-18 16:15:19,debit,sacramento,D000362,195.226.203.234,M094,unknown,49.0,engineer,141.0,1.0,4718.51,2024-11-04 08:06:27,4
TX001690,AC00313,27.51,2023-09-20 18:16:03,credit,columbus,D000250,47.82.77.181,M057,online,40.0,doctor,103.0,1.0,13645.63,2024-11-04 08:06:27,1
TX000911,AC00453,233.74,2023-02-13 16:43:40,debit,boston,D000373,6.44.165.160,M056,online,72.0,retired,142.0,1.0,4749.54,2024-11-04 08:06:27,4
TX001801,AC00209,315.94,2023-09-29 18:23:17,debit,omaha,D000099,89.237.88.251,M092,atm,78.0,retired,93.0,1.0,4273.99,2024-11-04 08:06:28,4
TX000276,AC00055,386.68,2023-10-31 16:48:01,debit,new york,D000453,207.157.126.125,M019,branch,46.0,doctor,128.0,1.0,6863.06,2024-11-04 08:06:28,1
TX001045,AC00318,109.3,2023-08-02 16:52:15,debit,fort worth,D000006,93.146.251.20,M020,branch,56.0,doctor,27.0,1.0,13510.11,2024-11-04 08:06:29,1
TX001495,AC00142,25.58,2023-11-16 16:33:22,debit,omaha,D000083,194.29.57.163,M048,atm,60.0,engineer,166.0,1.0,6741.41,2024-11-04 08:06:29,4
TX000180,AC00010,34.17,2023-11-21 16:57:43,credit,philadelphia,D000036,177.116.108.246,M091,online,54.0,engineer,54.0,1.0,726.55,2024-11-04 08:06:29,4
TX000808,AC00316,668.67,2023-11-07 17:38:05,debit,detroit,D000682,184.59.28.72,M019,online,44.0,doctor,143.0,4.0,13446.81,2024-11-04 08:06:29,1
TX000173,AC00247,177.19,2023-05-15 17:25:28,debit,chicago,D000666,130.92.201.49,M088,online,76.0,retired,43.0,1.0,5343.3,2024-11-04 08:06:30,4
TX000115,AC00336,327.86,2023-02-10 16:52:48,debit,fresno,D000655,188.124.181.12,M051,online,40.0,engineer,104.0,1.0,480.16,2024-11-04 08:06:30,3
TX000160,AC00492,28.53,2023-05-31 16:37:39,debit,washington,D000310,215.97.143.157,M035,online,62.0,doctor,99.0,1.0,8670.53,2024-11-04 08:06:30,4
TX001414,AC00405,362.68,2023-01-16 18:02:19,credit,miami,D000280,172.111.76.65,M014,atm,63.0,retired,137.0,1.0,2040.77,2024-11-04 08:06:30,4
TX000676,AC00286,13.52,2023-05-15 16:51:28,debit,seattle,D000584,167.67.137.223,M001,atm,26.0,student,65.0,1.0,259.77,2024-11-04 08:06:30,3
TX002307,AC00489,209.09,2023-11-07 18:44:46,debit,virginia beach,D000058,7.105.184.86,M091,atm,48.0,doctor,203.0,1.0,9100.81,2024-11-04 08:06:31,2
TX000271,AC00023,196.08,2023-08-25 16:52:28,debit,san francisco,D000623,198.73.211.114,M088,online,61.0,retired,98.0,1.0,4233.82,2024-11-04 08:06:31,4
TX002253,AC00478,236.57,2023-09-01 17:51:34,debit,sacramento,D000656,173.135.78.201,M023,atm,79.0,retired,112.0,1.0,3488.77,2024-11-04 08:06:31,4
TX001808,AC00493,218.07,2023-11-06 18:42:53,debit,austin,D000002,9.230.41.239,M067,branch,23.0,student,243.0,1.0,443.62,2024-11-04 08:06:31,2
TX000050,AC00471,22.01,2023-03-27 16:45:18,credit,sacramento,Unknown,124.6.134.78,M055,online,41.0,engineer,175.0,1.0,1335.09,2024-11-04 08:06:31,2
TX002341,AC00204,338.69,2023-10-23 18:46:51,debit,virginia beach,D000476,48.89.167.189,M026,branch,18.0,student,169.0,1.0,1137.89,2024-11-04 08:06:32,3
TX001484,AC00198,561.58,2023-06-23 17:38:26,debit,sacramento,D000229,170.154.69.105,M022,online,65.0,doctor,23.0,1.0,11748.86,2024-11-04 08:06:32,1
TX000876,AC00058,583.92,2023-08-01 16:11:52,debit,kansas city,D000429,32.169.88.41,M024,online,55.0,engineer,139.0,1.0,6364.14,2024-11-04 08:06:32,0
TX002382,AC00452,45.92,2023-06-19 17:25:35,debit,nashville,D000622,120.170.93.69,M087,atm,26.0,student,23.0,1.0,544.56,2024-11-04 08:06:32,3
TX000648,AC00276,20.22,2023-03-10 18:26:19,debit,jacksonville,D000123,170.225.23.251,M003,atm,43.0,engineer,138.0,1.0,5515.32,2024-11-04 08:06:32,4
TX000010,AC00385,815.96,2023-03-31 16:06:57,debit,nashville,D000199,32.169.88.41,M007,atm,55.0,doctor,120.0,1.0,1021.88,2024-11-04 08:06:32,0
TX000574,AC00461,350.46,2023-12-08 16:16:02,debit,nashville,D000079,152.234.65.155,M023,branch,51.0,retired,165.0,1.0,5839.38,2024-11-04 08:06:32,2
TX002064,AC00110,351.38,2023-06-26 18:41:55,debit,new york,D000254,47.82.77.181,M026,branch,64.0,retired,21.0,1.0,7606.63,2024-11-04 08:06:32,4
TX000981,AC00401,102.67,2023-05-10 17:41:59,debit,albuquerque,D000097,215.97.143.157,M091,branch,79.0,retired,119.0,1.0,4656.94,2024-11-04 08:06:32,4
TX002066,AC00483,604.5,2023-08-08 18:39:24,debit,portland,D000501,31.127.129.152,M073,atm,28.0,student,80.0,1.0,709.42,2024-11-04 08:06:32,0
TX000551,AC00356,77.43,2023-01-19 16:11:12,debit,raleigh,D000403,100.137.90.188,M047,online,21.0,student,169.0,1.0,4732.81,2024-11-04 08:06:33,3
TX000315,AC00371,321.15,2023-02-10 17:06:40,debit,los angeles,D000151,200.164.13.160,M037,branch,46.0,doctor,179.0,1.0,7005.05,2024-11-04 08:06:33,2
TX000428,AC00196,438.04,2023-08-24 18:54:06,debit,philadelphia,D000694,80.92.209.207,M025,atm,67.0,retired,247.0,1.0,5358.95,2024-11-04 08:06:33,2
TX000548,AC00456,97.09,2023-04-10 18:26:56,debit,fort worth,D000164,221.206.44.63,M052,atm,24.0,student,202.0,4.0,1579.57,2024-11-04 08:06:33,3
TX001560,AC00011,31.53,2023-12-20 17:15:14,debit,kansas city,D000328,37.143.57.20,M095,online,25.0,student,283.0,1.0,874.93,2024-11-04 08:06:33,2
TX000162,AC00227,307.57,2023-01-09 16:12:01,debit,detroit,D000076,128.16.32.183,M049,branch,33.0,doctor,285.0,1.0,5307.74,2024-11-04 08:06:33,2
TX002004,AC00388,248.76,2023-05-24 16:12:18,debit,denver,D000334,80.75.92.66,M091,atm,18.0,student,56.0,1.0,546.46,2024-11-04 08:06:33,3
TX000664,AC00131,288.28,2023-01-17 17:11:24,unknown,portland,D000127,191.25.177.160,M087,online,27.0,student,36.0,1.0,160.83,2024-11-04 08:06:33,3
TX001783,AC00398,418.02,2023-06-06 17:56:44,debit,los angeles,D000170,57.141.198.111,M017,atm,46.0,doctor,110.0,1.0,11011.86,2024-11-04 08:06:33,1
TX001317,AC00125,220.23,2023-09-18 18:35:23,debit,milwaukee,D000663,19.20.13.234,M059,atm,41.0,engineer,48.0,1.0,3438.02,2024-11-04 08:06:33,3
TX000539,AC00183,59.44,2023-06-13 17:52:56,debit,chicago,D000479,64.15.0.66,M002,online,35.0,engineer,176.0,1.0,5472.03,2024-11-04 08:06:34,2
TX000349,AC00376,308.42,2023-05-02 16:14:22,debit,nashville,D000276,76.0.164.168,M077,branch,75.0,retired,39.0,1.0,5427.81,2024-11-04 08:06:34,4
TX001776,AC00021,486.61,2023-11-28 16:17:29,credit,sacramento,D000334,152.140.239.181,M047,atm,48.0,engineer,130.0,1.0,2006.69,2024-11-04 08:06:34,0
TX001769,AC00267,192.97,2023-03-13 16:10:01,debit,sacramento,D000042,100.198.165.4,M098,atm,59.0,retired,140.0,1.0,3019.04,2024-11-04 08:06:34,4
TX000819,AC00366,372.41,2023-06-19 18:12:16,debit,san diego,D000362,214.125.131.88,M088,atm,55.0,retired,143.0,1.0,3233.87,2024-11-04 08:06:34,4
TX001476,AC00229,114.23,2023-06-07 17:35:50,debit,dallas,D000213,106.244.1.47,M089,atm,56.0,doctor,64.0,1.0,9523.72,2024-11-04 08:06:35,1
TX000480,AC00350,319.27,2023-07-20 16:58:05,credit,omaha,D000457,214.67.148.245,M068,online,54.0,retired,59.0,1.0,5504.01,2024-11-04 08:06:35,4
TX000522,AC00345,534.62,2023-12-05 17:51:28,debit,oklahoma city,D000354,178.34.103.183,M007,online,55.0,doctor,45.0,1.0,13793.53,2024-11-04 08:06:35,1
TX000705,AC00295,321.86,2023-07-24 16:25:51,debit,san antonio,D000554,141.241.241.128,M005,atm,63.0,doctor,167.0,1.0,12626.49,2024-11-04 08:06:35,1
TX000105,AC00170,129.94,2023-01-02 16:36:02,debit,las vegas,D000647,111.226.226.202,M045,atm,32.0,engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,2
TX002462,AC00320,337.99,2023-03-02 16:41:57,debit,colorado springs,D000420,113.115.81.178,M069,atm,70.0,doctor,115.0,1.0,9038.63,2024-11-04 08:06:36,4
TX001121,AC00362,268.92,2023-08-14 16:32:28,debit,chicago,D000127,199.6.127.153,M022,branch,29.0,engineer,148.0,1.0,8765.38,2024-11-04 08:06:36,1
TX000879,AC00366,1108.46,2023-08-31 16:16:15,debit,los angeles,D000353,48.89.167.189,M046,branch,30.0,engineer,262.0,1.0,9257.04,2024-11-04 08:06:36,0
TX000390,AC00210,123.85,2023-08-25 18:47:28,debit,las vegas,D000274,105.136.156.29,M047,online,56.0,engineer,244.0,1.0,3959.62,2024-11-04 08:06:36,2
TX001620,AC00015,50.9,2023-04-24 16:14:34,credit,jacksonville,D000549,131.41.45.13,M089,online,28.0,student,150.0,1.0,1277.7,2024-11-04 08:06:36,3
TX001609,AC00337,96.25,2023-07-27 16:01:41,debit,houston,D000359,27.215.118.94,M040,online,61.0,retired,171.0,1.0,7996.7,2024-11-04 08:06:36,4
TX001904,AC00003,384.11,2023-05-15 16:35:43,debit,fort worth,D000290,194.88.79.54,M032,atm,58.0,retired,12.0,1.0,7902.52,2024-11-04 08:06:36,4
TX002067,AC00310,258.7,2023-02-22 17:12:15,debit,charlotte,D000285,161.71.2.223,M035,atm,27.0,student,123.0,1.0,1358.37,2024-11-04 08:06:36,3
TX000006,AC00393,92.15,2023-04-03 17:15:01,debit,oklahoma city,D000579,117.67.192.211,M054,atm,18.0,student,172.0,1.0,781.68,2024-11-04 08:06:36,3
TX001655,AC00129,83.95,2023-06-14 16:16:25,debit,new york,D000288,60.89.202.192,M015,online,75.0,retired,170.0,1.0,7413.18,2024-11-04 08:06:37,4
TX001971,AC00005,116.89,2023-11-20 16:31:15,debit,columbus,D000328,146.250.144.172,M064,online,71.0,retired,226.0,1.0,4880.31,2024-11-04 08:06:37,2
TX001254,AC00439,903.19,2023-07-06 17:52:32,debit,el paso,D000286,174.61.77.54,M028,online,22.0,student,65.0,1.0,8627.08,2024-11-04 08:06:37,0
TX002222,AC00225,615.16,2023-02-06 16:40:27,debit,boston,D000092,62.27.235.199,M080,online,26.0,student,140.0,1.0,214.61,2024-11-04 08:06:37,0
TX000590,AC00144,518.85,2023-10-23 18:37:47,debit,kansas city,D000100,73.54.203.165,M038,online,22.0,student,82.0,1.0,1806.0,2024-11-04 08:06:37,3
TX000784,AC00323,265.94,2023-06-05 16:11:07,debit,boston,D000581,106.244.1.47,M085,online,54.0,engineer,132.0,1.0,6781.3,2024-11-04 08:06:37,4
TX002141,AC00394,519.62,2023-11-23 17:42:11,credit,washington,D000046,51.250.46.149,M026,online,71.0,retired,40.0,1.0,4159.33,2024-11-04 08:06:37,4
TX001841,AC00003,237.97,2023-01-09 17:26:46,debit,columbus,D000498,170.154.69.105,M089,atm,69.0,doctor,69.0,1.0,13486.15,2024-11-04 08:06:37,1
TX000532,AC00033,40.57,2023-02-13 17:02:27,debit,columbus,D000380,173.252.44.183,M096,branch,26.0,student,63.0,1.0,1476.91,2024-11-04 08:06:37,3
TX000915,AC00171,577.73,2023-11-10 16:26:28,debit,san jose,D000527,93.146.251.20,M033,atm,37.0,doctor,63.0,1.0,14977.99,2024-11-04 08:06:37,1
TX001953,AC00350,1496.57,2023-02-27 16:18:28,debit,memphis,D000139,182.84.41.229,M092,online,33.0,engineer,95.0,1.0,969.06,2024-11-04 08:06:37,0
TX000893,AC00063,523.02,2023-05-19 18:32:45,debit,jacksonville,D000689,124.180.225.109,M010,online,53.0,retired,83.0,1.0,4586.11,2024-11-04 08:06:38,0
TX000592,AC00057,198.62,2023-05-15 16:19:14,credit,tucson,D000378,97.4.209.133,M079,branch,27.0,student,84.0,1.0,1196.07,2024-11-04 08:06:38,3
TX002043,AC00231,776.21,2023-02-22 17:15:20,credit,raleigh,D000656,213.15.9.253,M036,online,78.0,retired,99.0,1.0,4895.87,2024-11-04 08:06:38,0
TX000692,AC00418,25.94,2023-10-16 18:53:31,credit,san jose,D000232,42.219.228.159,Unknown,online,58.0,retired,211.0,5.0,4815.11,2024-11-04 08:06:38,2
TX001282,AC00128,1397.59,2023-11-13 17:28:12,credit,austin,D000117,4.134.78.167,M020,atm,26.0,student,144.0,1.0,1134.79,2024-11-04 08:06:38,0
TX000592,Unknown,198.62,2023-11-13 17:28:12,credit,tucson,D000378,97.4.209.133,M079,branch,27.0,student,84.0,1.0,1196.07,2024-11-04 08:06:38,3
TX002257,AC00314,317.53,2023-02-24 18:25:34,debit,miami,D000034,137.33.78.168,M070,online,44.0,engineer,104.0,1.0,6237.68,2024-11-04 08:06:39,1
TX000928,AC00354,148.0,2023-01-23 16:48:16,debit,tucson,D000530,38.164.132.63,M065,branch,20.0,student,35.0,1.0,1488.65,2024-11-04 08:06:39,3
TX001295,AC00213,91.38,2023-04-03 16:41:47,debit,jacksonville,D000609,163.129.70.210,M013,atm,45.0,retired,179.0,1.0,2402.58,2024-11-04 08:06:39,2
TX000005,AC00411,13.45,2023-10-16 17:51:24,credit,atlanta,D000308,65.164.3.100,M091,online,45.0,student,198.0,1.0,7429.4,2024-11-04 08:06:39,2
TX002112,AC00021,762.74,2023-05-02 17:24:54,debit,los angeles,D000196,8.136.178.116,M053,atm,64.0,doctor,244.0,1.0,207.1,2024-11-04 08:06:39,0
TX000684,AC00242,120.62,2023-02-27 16:37:11,debit,raleigh,D000024,134.222.122.238,M087,atm,23.0,student,85.0,1.0,9379.53,2024-11-04 08:06:39,1
TX002443,AC00079,58.77,2023-07-13 16:35:37,debit,memphis,D000238,137.135.250.168,M036,online,27.0,engineer,191.0,1.0,7261.7,2024-11-04 08:06:39,2
TX002270,AC00197,25.77,2023-10-02 16:32:31,debit,memphis,D000428,93.170.203.44,M054,online,68.0,retired,18.0,1.0,4331.54,2024-11-04 08:06:40,4
TX000828,AC00180,108.96,2023-10-10 18:12:07,debit,milwaukee,D000240,49.31.186.82,M070,atm,26.0,student,247.0,1.0,7597.66,2024-11-04 08:06:40,2
TX000404,AC00020,353.82,2023-04-10 17:57:59,debit,milwaukee,D000043,72.128.135.172,M035,atm,42.0,doctor,143.0,1.0,705.75,2024-11-04 08:06:40,3
TX000400,AC00285,268.39,2023-06-26 18:25:14,debit,miami,D000015,65.164.3.100,M017,atm,26.0,student,171.0,1.0,136.74,2024-11-04 08:06:40,3
TX001780,AC00349,268.7,2023-10-03 16:16:01,debit,milwaukee,D000243,98.39.212.221,M013,atm,53.0,retired,63.0,1.0,2104.74,2024-11-04 08:06:40,4
TX000899,AC00083,1531.31,2023-10-23 18:00:29,debit,san diego,D000319,91.204.200.167,M078,online,18.0,student,62.0,4.0,859.86,2024-11-04 08:06:40,0
TX002081,AC00492,180.36,2023-05-30 16:12:10,credit,oklahoma city,D000451,184.185.209.72,M021,online,33.0,engineer,55.0,1.0,9905.23,2024-11-04 08:06:40,1
TX000674,AC00130,197.49,2023-07-03 16:36:45,credit,fresno,D000649,167.67.137.223,M007,online,53.0,retired,30.0,1.0,5005.33,2024-11-04 08:06:40,4
TX001185,AC00107,149.02,2023-09-01 16:35:51,credit,fort worth,D000346,199.59.68.207,M019,branch,46.0,engineer,176.0,1.0,9379.72,2024-11-04 08:06:40,1
TX002489,AC00311,18.1,2023-04-14 16:33:13,debit,louisville,D000066,147.119.62.178,M020,atm,57.0,retired,66.0,1.0,6474.34,2024-11-04 08:06:41,4
TX000687,AC00370,280.92,2024-01-01 18:21:50,debit,phoenix,D000320,120.170.93.69,M048,online,41.0,doctor,168.0,1.0,5298.85,2024-11-04 08:06:41,2
TX001786,AC00341,184.56,2023-11-30 16:07:36,debit,virginia beach,D000434,182.84.41.229,M058,online,21.0,student,93.0,1.0,1549.27,2024-11-04 08:06:41,3
TX001451,AC00268,78.77,2023-05-08 18:36:59,credit,las vegas,D000301,64.15.0.66,M085,atm,48.0,engineer,50.0,1.0,6470.57,2024-11-04 08:06:41,4
TX001353,AC00409,192.23,2023-12-28 16:34:52,debit,albuquerque,D000117,167.164.55.0,M058,online,54.0,engineer,39.0,3.0,2610.67,2024-11-04 08:06:41,4
TX002405,AC00150,470.62,2023-02-27 17:52:43,debit,tucson,D000642,180.224.54.115,M002,branch,57.0,doctor,127.0,1.0,12470.62,2024-11-04 08:06:42,1
TX001937,AC00064,571.93,2023-09-20 17:44:37,debit,washington,D000230,113.137.153.101,M048,online,52.0,retired,119.0,1.0,4026.03,2024-11-04 08:06:42,0
TX001434,Unknown,101.23,2023-08-04 18:34:01,debit,colorado springs,D000696,171.150.178.172,M015,online,45.0,engineer,87.0,1.0,6169.71,2024-11-04 08:06:42,4
TX001205,AC00411,359.42,2023-05-29 16:17:37,debit,baltimore,D000567,23.163.145.195,M089,branch,55.0,doctor,30.0,1.0,1765.45,2024-11-04 08:06:42,4
TX000888,AC00265,103.08,2023-02-27 16:48:02,credit,milwaukee,D000304,66.255.7.16,M096,branch,49.0,engineer,150.0,1.0,9251.38,2024-11-04 08:06:42,1
TX000386,AC00456,101.04,2023-07-10 18:16:07,debit,san antonio,D000020,143.212.47.226,M067,atm,27.0,student,160.0,1.0,1695.57,2024-11-04 08:06:43,3
TX000239,AC00394,33.06,2023-01-17 16:03:41,credit,fort worth,D000417,63.67.150.226,M045,online,53.0,retired,170.0,1.0,1540.87,2024-11-04 08:06:43,2
TX000472,AC00398,206.46,2023-11-27 18:26:02,debit,virginia beach,D000620,110.150.1.201,M013,atm,65.0,retired,279.0,1.0,3984.38,2024-11-04 08:06:44,2
TX001572,AC00247,101.28,2023-08-23 18:19:06,credit,chicago,D000506,81.222.37.186,M023,online,32.0,engineer,75.0,1.0,2774.35,2024-11-04 08:06:44,3
TX001348,AC00455,787.41,2023-06-19 16:22:28,debit,memphis,D000351,150.25.200.56,M081,online,25.0,student,39.0,1.0,300.87,2024-11-04 08:06:44,0
TX002099,AC00481,25.29,2023-07-27 18:34:19,debit,miami,D000111,41.82.55.163,M005,online,50.0,unknown,125.0,1.0,5374.69,2024-11-04 08:06:44,4
TX001908,AC00184,484.24,2023-05-29 16:40:15,debit,raleigh,D000305,73.108.76.238,M019,branch,67.0,doctor,77.0,1.0,8042.3,2024-11-04 08:06:44,4
TX001206,AC00087,32.91,2023-05-04 16:37:01,debit,fort worth,D000471,54.252.249.33,M036,online,19.0,student,255.0,1.0,427.3,2024-11-04 08:06:44,2
TX002102,AC00374,51.2,2023-03-13 18:45:47,debit,tucson,D000105,21.97.154.92,Unknown,online,18.0,student,83.0,1.0,730.6,2024-11-04 08:06:44,3
TX000344,AC00232,703.89,2023-09-22 16:42:15,debit,san antonio,D000473,48.19.99.211,M074,online,46.0,engineer,62.0,1.0,3583.67,2024-11-04 08:06:44,0
TX001592,AC00016,314.52,2023-03-20 17:21:43,debit,memphis,D000361,146.69.70.214,M057,atm,80.0,retired,229.0,1.0,7071.32,2024-11-04 08:06:44,2
TX000955,AC00395,391.66,2023-07-10 17:29:39,debit,unknown,D000271,119.163.214.161,M062,branch,50.0,engineer,103.0,1.0,2406.31,2024-11-04 08:06:44,4
TX000187,AC00099,1041.88,2023-09-06 16:44:02,debit,jacksonville,D000208,32.240.176.64,M032,online,78.0,retired,57.0,1.0,5726.2,2024-11-04 08:06:44,0
TX000011,AC00150,17.78,2023-03-14 16:46:10,credit,albuquerque,D000205,213.15.9.253,M073,online,52.0,engineer,59.0,1.0,7599.52,2024-11-04 08:06:45,4
TX001422,AC00144,335.48,2023-03-02 16:06:18,debit,oklahoma city,D000211,107.247.202.71,M040,branch,45.0,engineer,155.0,1.0,3023.16,2024-11-04 08:06:45,2
TX001567,AC00466,896.79,2023-11-06 16:35:59,debit,dallas,D000582,138.87.180.254,M087,online,33.0,doctor,168.0,1.0,11146.74,2024-11-04 08:06:45,0
TX000053,AC00115,85.43,2023-06-07 16:45:34,debit,virginia beach,D000235,194.174.252.1,M078,branch,67.0,doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,1
TX001646,AC00378,981.76,2023-09-25 16:23:57,debit,milwaukee,D000625,146.53.16.47,M040,online,45.0,doctor,234.0,1.0,602.36,2024-11-04 08:06:45,0
TX000753,AC00390,142.58,2023-06-19 16:20:51,debit,san antonio,D000647,139.23.212.102,M048,atm,33.0,engineer,145.0,1.0,7844.23,2024-11-04 08:06:46,1
TX002049,AC00041,50.28,2023-02-02 16:20:28,debit,oklahoma city,D000544,196.244.194.198,M057,branch,60.0,engineer,65.0,1.0,5729.1,2024-11-04 08:06:46,4
TX001042,AC00310,832.3,2023-07-12 16:55:44,credit,austin,D000153,73.156.208.26,M061,branch,69.0,retired,86.0,1.0,4732.81,2024-11-04 08:06:47,0
TX001411,AC00171,22.61,2023-12-21 17:56:04,debit,seattle,D000255,76.136.92.235,M099,online,19.0,student,145.0,1.0,1111.67,2024-11-04 08:06:47,3
TX001927,AC00026,39.31,2023-10-30 17:24:55,debit,portland,D000394,203.197.235.35,M053,online,25.0,student,178.0,1.0,1236.38,2024-11-04 08:06:47,3
TX002057,AC00436,308.62,2023-10-06 18:59:06,credit,sacramento,D000482,61.95.76.233,M047,branch,59.0,engineer,101.0,1.0,9148.08,2024-11-04 08:06:47,1
TX002426,AC00306,468.32,2023-06-08 16:20:29,debit,fresno,D000200,203.245.215.62,M095,online,69.0,retired,152.0,1.0,4710.04,2024-11-04 08:06:47,4
TX000655,AC00381,391.96,2023-06-19 16:21:58,debit,unknown,D000452,121.67.144.20,M032,atm,64.0,retired,79.0,1.0,2174.16,2024-11-04 08:06:47,4
TX002040,AC00103,477.54,2023-08-21 17:20:05,credit,san francisco,D000386,29.168.185.63,Unknown,atm,23.0,student,52.0,1.0,1598.63,2024-11-04 08:06:48,3
